,nu_p,nu_error_p,nu_up,nu_error_up,nu_p0,nu_error_p0,nu_ch,nu_error_ch,nu_mim,nu_error_mim
10pAsh1,0.5007644095827821,0.001229006274521374,0.5673338286269216,0.0013983761244258407,0.4776746397153015,0.0015091156166602262,0.48365892587034565,0.001477781543374712,0.5347193640780586,0.001004568475937143
pCTD2,0.5797818187451728,0.0027812887980140856,0.5137452749198395,0.00105881224472618,0.5738672559355906,0.002707659359802475,0.5763034147974245,0.0026837661512814793,0.545714649774733,0.0018408202419012785
pSic-6fold,0.5245304742363478,0.0014098654015060233,0.5432197342260778,0.00138056584365606,0.5135451189490245,0.001378555319517696,0.5110737286047626,0.0014800181421684329,0.5353864239000802,0.001289136613134669
pSic-7fold,0.5274358872300012,0.0014960268175464551,0.5432197342260778,0.00138056584365606,0.5171916625012807,0.0014973200418126624,0.5157812801614838,0.0016241448626627651,0.5322060698539194,0.001419825311079367
HPPAGE4,0.5406610001900621,0.0030151477529396726,0.5100093231423797,0.0034227190688601978,0.5376574752037124,0.00316206077756119,0.5360727650706639,0.0031331660323338103,0.5347256050347796,0.003036009292823038
CPPAGE4,0.5722229722019241,0.003036259142215046,0.5100093231423797,0.0034227190688601978,0.5699894430701554,0.0031101136891372168,0.5724407970168388,0.0031367474567197836,0.5568414422725049,0.002984719443665083
SN15p,0.5205164049887017,0.0030920635631309853,0.5744873404644707,0.008099794732621238,0.5005427113520959,0.003326161420874031,0.4907343697534864,0.003566869205352932,0.5606451633257457,0.005198815668223794
rOPNp,0.5402450280818769,0.003364049884783714,0.5437611985928321,0.002406633642763189,0.5375257131320202,0.0033683312713359615,0.5330107568813544,0.0033628493236950697,0.5409367122759364,0.0030112396893597977
pERa,0.48654279826532343,0.0005681269471436201,0.4843950163994654,0.0007003444583986608,0.4831343319541936,0.0006983294048644064,0.4893013915641643,0.0006012294171146565,0.48152099278099647,0.0006200029902974179
pTauS,0.6241755406326308,0.0063779864422768935,0.6113727264954347,0.005996712834812963,0.6125617720683351,0.0060072292171592,0.6001923136884446,0.00735291714408483,0.616847794614245,0.005601238064521675
pTauT,0.6241427549425969,0.0061041694439734305,0.6029195677574517,0.007189669496336619,0.6208287550691064,0.005471929033972419,0.6139645992839933,0.006181362285071934,0.6138967437052296,0.005969700347068744
